id_estacion,nombre_estacion,obs,bicis_promedio,capacidad_promedio,ocupacion_promedio,pct_vacia,pct_llena,hora_pico,categoria_ocupacion_promedio
008a35afc6b4060be57b48bf90bec44c,18027 Ov. Julio Ramón Riveyro - Av. Pardo,393,6.254,14.0,0.447,0.763,0.0,3,Media
03367da30caea302b11c838d8b98df55,18009 Ca. Luis Schereiber Cdra. 2 (C.C. Aurora),393,4.74,16.0,0.296,0.763,0.0,21,Baja
06dd87a8b87232577015b1c9a4ba08ed,18024 Ov. Bolognesi - Ca. Madrid,393,5.008,14.0,0.358,3.053,0.0,16,Media
0927eccbf04e2aadd179595c55c52bbe,18047 Malecón Cisneros - Ca. Trípoli,393,6.033,16.0,0.377,0.254,0.0,13,Media
0ac132eb1a147b7b23a753185cbebd1d,18026 Malecón de la Marina - Parque Grau,393,7.679,20.0,0.384,1.527,0.254,7,Media
11c5d99df877943158c7e7c693242e26,18022 Malecón de la Reserva - Malecón 28 de Julio,393,8.336,20.0,0.417,1.018,0.0,11,Media
1ff7b00c8a2af2eeb129df70939eb20b,18034 Ca. Tacna - Av. A. Aramburú,393,6.257,16.0,0.391,1.781,0.0,13,Media
263e9a1c4f245c4070f8c85b88d0f10d,18021 Av. Armendariz -Av. Larco (Larcomar),393,16.298,28.0,0.582,0.0,0.763,21,Media
3ab2451c995f47035d2b14590753236a,18018 Av. Nuñez de Balboa - Av. Reducto,393,7.746,20.0,0.387,2.036,0.0,10,Media
3c8e489aaccbcbbe87f59457fe1901d1,18016 Ca. Manco Capac - Av. Larco,393,6.387,16.0,0.399,0.0,0.0,12,Media
409c57fe8f27975938e2e0248a4d45bc,18002 Ca. Oscar R. Benavides - Ov. Miraflores (Parque Kennedy),393,7.107,20.0,0.355,3.817,0.0,20,Media
4158a25459abe328f8ab8c32c0db7b6b,18043 Ca. Mariano Melgar - Ca. Gral. Mendiburu,393,6.646,16.0,0.415,0.254,0.0,21,Media
438d63a7c5cb69db70e9cd6665120d61,18001 Ca. Oscar R. Benavides - Ca. Schell (Parque Kennedy),393,10.219,20.0,0.511,0.0,1.018,21,Media
